Артикул;Назва товару;Ціна (грн)
12-10-37;LED світильник LEBRON L-PS-941 9W вбудований 4100K з блоком живлення;103.5
12-10-40;LED св-к LEBRON L-PS-1241 12W вб-ний 4100K з блоком живлення;117.6
12-10-46;LED св-к LEBRON L-PS-1841 18W вб-ний 4100K з блоком живлення;140.1
12-10-57;LED св-к LEBRON L-PS-2465 24W вб-ний 6500K з блоком живлення;222
12-10-61;LED св-к LEBRON L-PRS-641 6W нак-ний 4100K з блоком живлення;98.7
12-10-67;LED св-к LEBRON L-PRS-1241 12W нак-ний 4100K з блоком живлення;125.1
12-10-68;LED світильник LEBRON L-PRS-1265 12W накладний 6500K з блоком живлення;125.1
12-10-73;LED св-к LEBRON L-PRS-1841 18W нак-ний 4100K з блоком живлення;150
12-10-74;LED світильник LEBRON L-PRS-1865 18W накладний 6500K з блоком живлення;150
12-10-80;LED св-к LEBRON L-PRS-2465 24W нак-ний 6500K з блоком живлення;237
12-10-82;LED св-к LEBRON L-PSS-641 6W нак-ний 4100K з блоком живлення;105
12-10-88;LED св-к LEBRON L-PSS-1241 12W нак-ний 4100K з блоком живлення;140.1
12-10-89;LED світильник LEBRON L-PSS-1265 12W накладний 6500K з блоком живлення;140.1
12-10-94;LED св-к LEBRON L-PSS-1841 18W нак-ний 4100K з блоком живлення;180
12-10-95;LED світильник LEBRON L-PSS-1865 18W накладний 6500K з блоком живлення;180
12-10-99;LED св-к LEBRON L-PSS-2465 24W нак-ний 6500K з блоком живлення;246
12-12-48-2;LED світильник LEBRON L-DR-S-2041 20W 4100K накладний 230V;201
12-12-52-2;LED світильник LEBRON L-DR-S-2441 24W 4100K накладний 230V;228
12-12-61-2;LED світильник LEBRON L-FDL-R-1041 10W 4100K вбудований 230V;71.4
12-12-68-1;LED світильник LEBRON L-FDL-R-1841 18W 4100K вбудований 230V;#N/A
12-12-74-2;LED світильник LEBRON L-FDL-R-2441 24W 4100K вбудований 230V;123
12-12-76-2;LED світильник LEBRON L-FDL-R-3641 36W 4100K вбудований 230V;186
